Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
trigo mote costeño 500 g,S/  4.40,,Por Tottus,Tottus,,[CLS] tri ##go mot ##e coste ##ño 500 g [SEP]
sal de maras gruesa con ají panca,S/  18.90,,AJINOSILLAO,Tottus,,[CLS] sal de mara ##s gr ##uesa con aj ##í pan ##ca [SEP]
sopa de mariscos 56 g,S/  10.50,,Ají no Sillao 150 mL,Tottus,,[CLS] so ##pa de mari ##sco ##s 56 g [SEP]
flan vainilla royal x 80g,S/  2.90,,Por Tottus,Tottus,,[CLS] fl ##an vain ##illa royal x 80 ##g [SEP]
dip de quinoa natural ayni 200 g,S/  16.40,,PIRUCREAM,Tottus,,[CLS] di ##p de qui ##no ##a natural ay ##ni 200 g [SEP]
sazonador umami ajinomoto 100 g,S/  2.90,,Pirucream Spread de 280 g,Tottus,,[CLS] sa ##zona ##dor uma ##mi aj ##ino ##moto 100 g [SEP]
protein pancake de cacao amaru de 350 g,S/  24.50,16%,Por Tottus,Tottus,,[CLS] protein pan ##cak ##e de ca ##cao amar ##u de 350 g [SEP]
crema de almendras castañas y cacao wasi organics de 250 g,S/  34.50,,WASI ORGANICS,Tottus,,[CLS] c ##rema de al ##mend ##ras cast ##aña ##s y ca ##cao was ##i organic ##s de 250 g [SEP]
ketchup tottus 380 g,S/  5.90,,Crema de Almendras Castañas y Cacao Wasi Organics de 250 g,Tottus,,[CLS] ket ##chu ##p tot ##tus 380 g [SEP]
sazonador de guacamole 30 g,S/  2,,Por Tottus,Tottus,,[CLS] sa ##zona ##dor de gu ##aca ##mol ##e 30 g [SEP]
sopa de fideos con carne tottus de 60 g,S/  2.40,,TOTTUS,Tottus,,[CLS] so ##pa de fi ##deo ##s con carne tot ##tus de 60 g [SEP]
tallarines spaghetti américa orgánica 227 g,S/  13.80,,Ketchup Tottus 380 g,Tottus,,[CLS] talla ##rine ##s sp ##agh ##etti am ##érica org ##ánica 227 g [SEP]
