Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
salsa verde peruana casa verde de 190 g,S/  8.70,,Harina de Quinua 500 g,Tottus,,sals verd peruan cas verd 190 g
pasta spaghetti sin gluten x400gr,S/  13.50,21%,Por Tottus,Tottus,,past spaghetti glut x400gr
vinagre de vino tinto venturo 600 ml,S/  4.90,,CASA VERDE,Tottus,,vinagr vin tint ventur 600 ml
naturandes linaza x 150 g,S/  6.20,,Salsa Verde Peruana Casa Verde de 190 g,Tottus,,naturand linaz x 150 g
alcachofa a la parrilla casa verde 220 g,S/  8.70,,Por Tottus,Tottus,,alcachof parrill cas verd 220 g
pack de sazonador panquita sibarita 3 unidades,S/  3.20,,MOLINOS DEL MUNDO,Tottus,,pack sazon panquit sibarit 3 unidad
tapenade de aceitunas y alcachofa de 185 g,S/  4.90,38%,PASTA SPAGHETTI SIN GLUTEN X400GR,Tottus,,tapenad aceitun alcachof 185 g
filete de atún claro en aceite campomar 170 g,S/  6.90,,Por Tottus,Tottus,,filet atun clar aceit campom 170 g
gansito marinela 50 g,S/  2.70,,VENTURO,Tottus,,gansit marinel 50 g
aderezo especial x 90 gr,S/  3.65,,Vinagre de vino tinto Venturo 600 mL,Tottus,,aderez especial x 90 gr
pudín de butterscotch 4 unidades,S/  16.50,,Por Tottus,Tottus,,pudin butterscotch 4 unidad
vegetales mixtos en conserva de 425 g,S/  8.80,,VALLE FERTIL,Tottus,,vegetal mixt conserv 425 g
arroz extra vallenorte 750 gr,S/  4.80,,Vegetales mixtos en conserva de 425 g,Tottus,,arroz extra vallenort 750 gr
salsa de culantro sibarita 100 g,S/  2.20,,Por Tottus,Tottus,,sals culantr sibarit 100 g
salsa huancaína casa verde,S/  5.09,,VALLENORTE,Tottus,,sals huancain cas verd
tomillo entero 5 g,S/  3.70,,Arroz Extra Vallenorte 750 gr,Tottus,,tomill enter 5 g
